date,Party,death,death_population_1000000,death_previous7_avg,death_previous7_avg_population_1000000,positive,positive_population_1000000,positive_previous7_avg,positive_previous7_avg_population_1000000
2020-02-19,Democratic,,,0.0,0.0,69.0,9.061191010825759,7.285714285714286,0.956771721639987
2020-02-20,Democratic,,,0.0,0.0,82.0,10.768371925908873,9.142857142857142,1.2006547095090032
2020-02-21,Democratic,,,0.0,0.0,93.0,12.212909623286892,10.285714285714286,1.350736548197629
2020-02-22,Democratic,,,0.0,0.0,106.0,13.920090538370008,11.142857142857142,1.4632979272140978
2020-02-23,Democratic,,,0.0,0.0,122.0,16.02123628001076,12.428571428571429,1.6321399957388014
2020-02-24,Democratic,,,0.0,0.0,148.0,19.435598110176993,14.0,1.8385025239356614
2020-02-25,Democratic,,,0.0,0.0,179.0,23.506567984605955,17.142857142857142,2.251227580329381
2020-02-26,Democratic,2.0,0.26264321770509447,0.2857142857142857,0.03752045967215635,208.0,27.314894641329825,19.857142857142858,2.607671947214867
2020-02-27,Democratic,2.0,0.26264321770509447,0.2857142857142857,0.03752045967215635,235.0,30.860578080348603,21.857142857142858,2.870315164919961
2020-02-28,Democratic,4.0,0.5252864354101889,0.5714285714285714,0.0750409193443127,275.0,36.11344243445049,26.0,3.414361830166228
2020-02-29,Democratic,5.0,0.6566080442627362,0.7142857142857143,0.0938011491803909,299.0,39.26516104691162,27.571428571428573,3.620724358363088
2020-03-01,Democratic,8.0,1.0505728708203779,1.1428571428571428,0.1500818386886254,129.33333333333334,17.432453839488264,36.42857142857143,4.783858608199935
2020-03-02,Democratic,11.0,1.4445376973780195,1.5714285714285714,0.20636252819685993,156.66666666666666,20.92834113046425,43.142857142857146,5.66558941049561
2020-03-03,Democratic,14.0,1.8385025239356614,2.0,0.26264321770509447,190.0,25.13938139415305,50.714285714285715,6.6598815918077525
2020-03-04,Democratic,16.0,2.1011457416407557,2.0,0.26264321770509447,83.11111111111111,10.249547072894742,59.714285714285715,7.841776071480678
2020-03-04,Republican,,,,,1.5,0.34360857746423945,,
2020-03-05,Democratic,10.0,1.3132160885254724,2.5714285714285716,0.33768413704940725,63.785714285714285,7.879994316556079,70.85714285714286,9.305073998694777
2020-03-05,Republican,,,,,1.7,0.253400093856203,,
2020-03-06,Democratic,13.0,1.707180915083114,3.142857142857143,0.41272505639371987,51.25,6.260525528520669,76.85714285714286,10.09300365181006
2020-03-06,Republican,0.0,0.0,,,1.625,0.21588124665639274,,
2020-03-07,Democratic,13.5,1.7728417195093877,1.0476190476190477,0.13757501879790662,49.0,5.892962388435226,34.904761904761905,4.445703440796203
2020-03-07,Republican,0.0,0.0,,,1.84,0.3005802305053723,,
2020-03-08,Democratic,10.333333333333334,1.3569899581429878,1.0952380952380951,0.143828428743266,59.28,7.108366401683258,40.38095238095239,5.105436049490116
2020-03-08,Republican,0.0,0.0,,,2.24,0.3929442487881851,,
2020-03-09,Democratic,11.666666666666666,1.532085436613051,1.1428571428571428,0.1500818386886254,72.96,8.631267014784134,48.80952380952382,6.136623572440036
2020-03-09,Republican,0.0,0.0,,,3.24,0.5608951883003174,,
2020-03-10,Democratic,12.333333333333334,1.6196331758480829,0.36507936507936506,0.04794280958108867,89.64,10.743393392629663,24.238095238095237,2.7196986339598346
2020-03-10,Republican,0.0,0.0,0.0,0.0,4.2,0.7282565715574074,1.357142857142857,0.14281315138951126
2020-03-11,Democratic,10.25,1.3413623002142565,0.25510204081632654,0.033309218971594584,108.8,13.033426372060791,19.479591836734695,2.2453347936447883
2020-03-11,Republican,1.0,0.04655984007998608,0.02857142857142857,0.0013302811451424592,6.12,1.2488784558539654,1.5428571428571431,0.18941203448165558
