date,state,positive,death,positiveIncrease,deathIncrease,positive_previous7_avg,death_previous7_avg,state_long,population_2019,positive_population,death_population,positive_previous7_avg_population,death_previous7_avg_population,positive_population_1000000,death_population_1000000,positive_previous7_avg_population_1000000,death_previous7_avg_population_1000000,STAYHOME_x,END_STHM_x,CLBSNS_x,END_BSNS_x,FM_ALL_x,FM_EMP_x,CLREST_x,ENDREST_x,CLGYM_x,ENDGYM_x,CLMOVIE_x,END_MOV_x,CLOSEBAR_x,END_BRS_x,CLBAR2_x,CLMV2_x,CLGYM2_x,CLRST2_x,STAYHOME_y,END_STHM_y,CLBSNS_y,END_BSNS_y,FM_ALL_y,FM_EMP_y,CLREST_y,ENDREST_y,CLGYM_y,ENDGYM_y,CLMOVIE_y,END_MOV_y,CLOSEBAR_y,END_BRS_y,CLBAR2_y,CLMV2_y,CLGYM2_y,CLRST2_y,STAYHOME_z,END_STHM_z,CLBSNS_z,END_BSNS_z,FM_ALL_z,FM_EMP_z,Name,Party
2020-02-15,WA,28.0,,7,0,2.142857142857143,0.0,Washington,7614893.0,3.6770050478713228e-06,,2.8140344754117266e-07,0.0,3.6770050478713228,,0.28140344754117264,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-16,WA,35.0,,7,0,3.142857142857143,0.0,Washington,7614893.0,4.596256309839153e-06,,4.127250563937199e-07,0.0,4.596256309839153,,0.41272505639371987,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-17,WA,50.0,,15,0,4.857142857142857,0.0,Washington,7614893.0,6.566080442627362e-06,,6.37847814426658e-07,0.0,6.566080442627363,,0.6378478144266579,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-18,WA,59.0,,9,0,6.0,0.0,Washington,7614893.0,7.747974922300286e-06,,7.879296531152834e-07,0.0,7.747974922300286,,0.7879296531152834,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-19,WA,69.0,,10,0,7.285714285714286,0.0,Washington,7614893.0,9.06119101082576e-06,,9.56771721639987e-07,0.0,9.061191010825759,,0.956771721639987,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-20,WA,82.0,,13,0,9.142857142857142,0.0,Washington,7614893.0,1.0768371925908873e-05,,1.2006547095090032e-06,0.0,10.768371925908873,,1.2006547095090032,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-21,WA,93.0,,11,0,10.285714285714286,0.0,Washington,7614893.0,1.2212909623286893e-05,,1.350736548197629e-06,0.0,12.212909623286892,,1.350736548197629,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-22,WA,106.0,,13,0,11.142857142857142,0.0,Washington,7614893.0,1.3920090538370008e-05,,1.4632979272140978e-06,0.0,13.920090538370008,,1.4632979272140978,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-23,WA,122.0,,16,0,12.428571428571429,0.0,Washington,7614893.0,1.6021236280010763e-05,,1.6321399957388013e-06,0.0,16.02123628001076,,1.6321399957388014,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-24,WA,148.0,,26,0,14.0,0.0,Washington,7614893.0,1.9435598110176993e-05,,1.8385025239356614e-06,0.0,19.435598110176993,,1.8385025239356614,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-25,WA,179.0,,31,0,17.142857142857142,0.0,Washington,7614893.0,2.3506567984605954e-05,,2.2512275803293813e-06,0.0,23.506567984605955,,2.251227580329381,0.0,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-26,WA,208.0,2.0,29,2,19.857142857142858,0.2857142857142857,Washington,7614893.0,2.7314894641329826e-05,2.6264321770509447e-07,2.607671947214867e-06,3.752045967215635e-08,27.314894641329825,0.26264321770509447,2.607671947214867,0.03752045967215635,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-27,WA,235.0,2.0,27,0,21.857142857142858,0.2857142857142857,Washington,7614893.0,3.0860578080348604e-05,2.6264321770509447e-07,2.870315164919961e-06,3.752045967215635e-08,30.860578080348603,0.26264321770509447,2.870315164919961,0.03752045967215635,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-28,WA,275.0,4.0,40,2,26.0,0.5714285714285714,Washington,7614893.0,3.611344243445049e-05,5.252864354101889e-07,3.414361830166228e-06,7.50409193443127e-08,36.11344243445049,0.5252864354101889,3.414361830166228,0.0750409193443127,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-02-29,WA,299.0,5.0,24,1,27.571428571428573,0.7142857142857143,Washington,7614893.0,3.9265161046911624e-05,6.566080442627362e-07,3.6207243583630883e-06,9.380114918039089e-08,39.26516104691162,0.6566080442627362,3.620724358363088,0.0938011491803909,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-03-01,MI,9.0,,0,0,,,Michigan,9986857.0,9.011844266920013e-07,,,,0.9011844266920014,,,,,,,,,,,,,,,,,,,,,,2020-03-24,2020-06-01,2020-03-24,2020-05-26,2020-04-27,2020-04-26,2020-03-16,2020-06-08,2020-03-16,,2020-03-16,,2020-03-16,2020-06-08,,,,,,,,,,,Gretchen Whitmer,Democratic
2020-03-01,RI,2.0,,0,0,,,Rhode Island,1059361.0,1.8879305543624884e-06,,,,1.8879305543624885,,,,,,,,,,,,,,,,,,,,,,2020-03-28,2020-05-09,2020-03-30,2020-05-09,2020-04-18,2020-04-18,2020-03-17,2020-05-18,2020-03-23,2020-06-01,2020-03-23,2020-06-30,2020-03-17,2020-06-01,,,,,,,,,,,Gina Raimondo,Democratic
2020-03-01,WA,377.0,8.0,78,3,36.42857142857143,1.1428571428571428,Washington,7614893.0,4.9508246537410306e-05,1.0505728708203779e-06,4.783858608199935e-06,1.500818386886254e-07,49.50824653741031,1.0505728708203779,4.783858608199935,0.1500818386886254,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-03-02,MI,18.0,,9,0,,,Michigan,9986857.0,1.8023688533840027e-06,,,,1.8023688533840028,,,,,,,,,,,,,,,,,,,,,,2020-03-24,2020-06-01,2020-03-24,2020-05-26,2020-04-27,2020-04-26,2020-03-16,2020-06-08,2020-03-16,,2020-03-16,,2020-03-16,2020-06-08,,,,,,,,,,,Gretchen Whitmer,Democratic
2020-03-02,RI,2.0,,0,0,,,Rhode Island,1059361.0,1.8879305543624884e-06,,,,1.8879305543624885,,,,,,,,,,,,,,,,,,,,,,2020-03-28,2020-05-09,2020-03-30,2020-05-09,2020-04-18,2020-04-18,2020-03-17,2020-05-18,2020-03-23,2020-06-01,2020-03-23,2020-06-30,2020-03-17,2020-06-01,,,,,,,,,,,Gina Raimondo,Democratic
2020-03-02,WA,450.0,11.0,73,3,43.142857142857146,1.5714285714285714,Washington,7614893.0,5.9094723983646254e-05,1.4445376973780195e-06,5.66558941049561e-06,2.0636252819685995e-07,59.094723983646254,1.4445376973780195,5.66558941049561,0.20636252819685993,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-03-03,MI,34.0,,16,0,,,Michigan,9986857.0,3.4044745008364493e-06,,,,3.404474500836449,,,,,,,,,,,,,,,,,,,,,,2020-03-24,2020-06-01,2020-03-24,2020-05-26,2020-04-27,2020-04-26,2020-03-16,2020-06-08,2020-03-16,,2020-03-16,,2020-03-16,2020-06-08,,,,,,,,,,,Gretchen Whitmer,Democratic
2020-03-03,RI,2.0,,0,0,,,Rhode Island,1059361.0,1.8879305543624884e-06,,,,1.8879305543624885,,,,,,,,,,,,,,,,,,,,,,2020-03-28,2020-05-09,2020-03-30,2020-05-09,2020-04-18,2020-04-18,2020-03-17,2020-05-18,2020-03-23,2020-06-01,2020-03-23,2020-06-30,2020-03-17,2020-06-01,,,,,,,,,,,Gina Raimondo,Democratic
2020-03-03,WA,534.0,14.0,84,3,50.714285714285715,2.0,Washington,7614893.0,7.012573912726022e-05,1.8385025239356614e-06,6.659881591807753e-06,2.6264321770509447e-07,70.12573912726022,1.8385025239356614,6.6598815918077525,0.26264321770509447,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-01,2020-03-25,2020-05-05,2020-06-26,2020-05-04,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Jay Inslee,Democratic
2020-03-04,AZ,2.0,,0,0,,,Arizona,7278717.0,2.747736998155032e-07,,,,0.2747736998155032,,,,,,,,,,,,,,,,,,,,,,2020-03-31,2020-05-16,2020-03-30,2020-05-08,,2020-05-08,2020-03-20,2020-05-11,2020-03-20,2020-05-13,2020-03-20,2020-05-16,2020-03-20,2020-05-16,2020-06-29,2020-06-29,2020-06-29,,,,,,,,Doug Ducey,Republican
2020-03-04,CA,53.0,,0,0,,,California,39512223.0,1.3413570782894194e-06,,,,1.3413570782894195,,,,,,,,,,,,,,,,,,,,,,2020-03-19,,2020-03-19,2020-05-08,2020-06-18,2020-05-05,2020-03-19,,2020-03-19,,2020-03-19,,2020-03-16,,2020-07-13,2020-07-13,,2020-07-13,,,,,,,Gavin Newsom,Democratic
2020-03-04,FL,2.0,,0,0,,,Florida,21477737.0,9.311968015997216e-08,,,,0.09311968015997216,,,,,,,,,,,,,,,,,,,,,,2020-04-03,2020-05-18,2020-03-20,2020-05-18,,2020-05-11,2020-03-20,2020-05-18,2020-03-20,2020-05-18,2020-03-20,,2020-03-17,,2020-06-26,,,,,,,,,,Ron DeSantis,Republican
2020-03-04,GA,2.0,,0,0,,,Georgia,10617423.0,1.8836962603825805e-07,,,,0.18836962603825805,,,,,,,,,,,,,,,,,,,,,,2020-04-03,2020-05-01,,2020-05-01,,2020-04-27,2020-04-03,2020-04-27,2020-04-03,2020-04-24,2020-04-03,2020-04-27,2020-03-24,2020-06-01,,,,,,,,,,,Brian Kemp,Republican
2020-03-04,IL,4.0,,0,0,,,Illinois,12671821.0,3.156610245678186e-07,,,,0.31566102456781864,,,,,,,,,,,,,,,,,,,,,,2020-03-21,2020-05-29,2020-03-21,2020-05-29,2020-05-01,2020-05-01,2020-03-16,2020-05-29,2020-03-21,2020-05-29,2020-03-21,2020-06-26,2020-03-16,2020-06-26,,,,,,,,,,,J.B. Pritzker,Democratic
2020-03-04,MI,52.0,,18,0,,,Michigan,9986857.0,5.2068433542204515e-06,,,,5.206843354220451,,,,,,,,,,,,,,,,,,,,,,2020-03-24,2020-06-01,2020-03-24,2020-05-26,2020-04-27,2020-04-26,2020-03-16,2020-06-08,2020-03-16,,2020-03-16,,2020-03-16,2020-06-08,,,,,,,,,,,Gretchen Whitmer,Democratic
2020-03-04,NC,1.0,,0,0,,,North Carolina,10488084.0,9.534629966731769e-08,,,,0.09534629966731768,,,,,,,,,,,,,,,,,,,,,,2020-03-30,2020-05-22,2020-03-30,2020-05-08,2020-06-26,2020-06-26,2020-03-17,2020-05-22,2020-03-25,,2020-03-25,,2020-03-17,,,,,,,,,,,,Roy Cooper,Democratic
2020-03-04,NH,2.0,,0,0,,,New Hampshire,1359711.0,1.470900801714482e-06,,,,1.470900801714482,,,,,,,,,,,,,,,,,,,,,,2020-03-28,2020-06-16,2020-03-28,2020-05-11,,2020-05-01,2020-03-16,2020-05-18,2020-03-27,2020-06-01,2020-03-28,2020-06-29,2020-03-16,2020-06-15,,,,,,,,,,,Chris Sununu,Republican
2020-03-04,NY,6.0,,0,0,,,New York,19453561.0,3.084268222152232e-07,,,,0.3084268222152232,,,,,,,,,,,,,,,,,,,,,,2020-03-22,2020-06-13,2020-03-22,2020-05-15,2020-04-17,2020-04-17,2020-03-16,2020-06-22,2020-03-16,,2020-03-16,,2020-03-16,,,,,,,,,,,,Andrew Cuomo,Democratic
2020-03-04,OR,3.0,,0,0,,,Oregon,4217737.0,7.112819030679248e-07,,,,0.7112819030679248,,,,,,,,,,,,,,,,,,,,,,2020-03-23,2020-06-19,,2020-05-15,2020-07-01,2020-05-09,2020-03-17,2020-06-19,2020-03-24,2020-06-19,2020-03-24,,2020-03-17,2020-06-19,,,,,,,,,,,Kate Brown,Democratic
2020-03-04,RI,2.0,,0,0,,,Rhode Island,1059361.0,1.8879305543624884e-06,,,,1.8879305543624885,,,,,,,,,,,,,,,,,,,,,,2020-03-28,2020-05-09,2020-03-30,2020-05-09,2020-04-18,2020-04-18,2020-03-17,2020-05-18,2020-03-23,2020-06-01,2020-03-23,2020-06-30,2020-03-17,2020-06-01,,,,,,,,,,,Gina Raimondo,Democratic
2020-03-04,SC,0.0,,0,0,,,South Carolina,5148714.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2020-04-07,2020-05-04,2020-04-01,2020-04-20,,2020-08-03,2020-03-18,2020-05-04,2020-04-01,2020-05-18,2020-04-01,,2020-03-18,2020-05-04,,,,,,,,,,,Henry McMaster,Republican
2020-03-04,TX,1.0,,0,0,,,Texas,28995881.0,3.4487657057221335e-08,,,,0.03448765705722134,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31,2020-05-01,2020-07-03,2020-05-08,2020-03-21,2020-05-01,2020-03-21,2020-05-18,2020-03-31,2020-05-01,2020-03-20,2020-05-22,2020-06-26,,,,,,,,,,Greg Abbott,Republican
